,Test predictions,Actual
0,437.02957,451.705
1,500.08914,443.6816666666666
2,492.78314,452.508
3,504.16516,354.636
4,346.26282,308.15833333333336
5,312.3457,252.03666666666663
6,259.68213,234.74
7,260.07007,188.51166666666663
8,217.02098,136.19
9,166.3886,150.125
10,204.77504,151.265
11,201.51457,179.68999999999997
12,242.13129,216.395
13,287.51553,321.59
14,433.66232,534.6733333333333
15,729.22614,687.4583333333334
16,900.6678,743.626
17,912.46747,695.9666666666667
18,770.6776,629.4380000000001
19,665.99677,599.304
20,637.1514,587.5216666666666
21,630.91626,602.0616666666666
22,661.65735,881.8883333333333
23,1081.7396,839.5233333333334
24,866.8212,583.5916666666666
25,508.1668,432.6
26,376.31464,419.1466666666667
27,415.87607,423.868
28,476.1078,364.3866666666667
29,435.67126,333.888
30,417.06,277.2
31,340.21246,275.9225
32,367.09824,261.59
33,333.68787,280.8275
34,358.33734,272.745
35,335.787,263.874
36,318.40744,336.0216666666667
37,430.32816,506.45200000000006
38,679.86176,630.626
39,823.3885,769.6700000000001
40,1003.8123,766.6375
41,905.7387,723.71
42,821.53986,703.8039999999999
43,791.63635,656.6550000000001
44,699.52423,657.11
45,716.9356,614.5675000000001
46,644.1316,880.2275
47,1127.0308,938.315
48,1075.9694,608.89
49,473.09158,234.3416666666667
50,108.568306,137.132
51,114.54099,144.4766666666667
52,173.62888,139.055
53,166.14992,136.52166666666665
54,149.09212,137.51333333333332
55,152.21013,0.16666666666668561
56,61.96992,14.329999999999984
57,38.962444,29.439999999999998
58,69.75291,35.236666666666736
59,64.28684,190.2983333333333
60,181.92064,109.88599999999997
61,139.89305,45.93500000000006
62,81.74238,32.92666666666668
63,59.134075,103.19333333333338
64,97.98701,327.58500000000004
65,338.48138,314.12833333333333
66,358.96643,249.0683333333333
67,260.33582,197.32666666666668
68,186.37506,194.9866666666667
69,191.47797,162.77499999999998
70,150.86977,145.46833333333336
71,142.15208,157.065
72,163.02696,159.83833333333337
73,172.93407,179.73999999999998
74,200.27759,163.0716666666666
75,179.62845,195.54166666666663
76,215.66733,169.098
77,178.56898,186.165
78,195.54396,164.73333333333335
79,170.60652,98.87333333333333
80,105.186806,22.748333333333335
81,46.83241,26.386666666666656
82,42.54176,14.733333333333348
83,31.61973,22.04333333333335
84,39.370586,29.160000000000025
85,61.33726,31.073333333333323
86,68.2602,18.420000000000016
87,49.531933,30.298000000000002
88,43.41377,157.495
89,181.42441,229.33
90,289.5561,185.7983333333333
91,219.16158,169.27
92,206.89127,163.69666666666672
93,195.2157,152.745
94,177.95926,159.026
95,189.53737,167.485
96,195.22414,144.01833333333337
97,168.02272,150.76999999999998
98,178.72075,152.51
99,180.82271,190.85166666666666
100,228.57939,165.47000000000003
101,194.58443,169.82799999999997
102,195.75412,193.75333333333333
103,218.36452,125.61000000000001
104,132.82915,49.576666666666654
105,56.99171,23.459999999999923
106,46.682964,20.279999999999973
107,43.667675,17.568333333333328
108,41.812634,14.361666666666622
109,49.29585,21.266666666666595
110,48.87904,17.876666666666665
111,40.871807,35.94166666666666
112,41.397472,171.228
113,174.95409,257.4425
114,304.20676,302.66
115,367.7776,276.14
116,310.43893,284.59
117,318.99182,281.1933333333333
118,303.82446,261.808
119,267.79715,189.8633333333333
120,173.7153,185.795
121,173.53856,172.41666666666666
122,170.30614,213.30166666666668
123,234.60507,214.04000000000005
124,237.83022,195.726
125,217.00769,241.41833333333332
126,275.0128,243.228
127,271.60614,144.43333333333328
128,136.44707,52.06833333333333
129,50.215282,47.168000000000006
130,57.38798,34.89666666666665
131,44.596294,30.27166666666659
132,36.311565,33.72833333333335
133,43.227276,41.435
134,48.142956,27.743333333333396
135,20.14213,60.678
136,49.97703,221.99500000000003
137,266.80234,368.8216666666667
138,486.83572,401.1366666666667
139,502.8315,331.5166666666667
140,366.52786,251.67000000000002
141,241.50162,266.14666666666665
142,275.16876,261.366
143,270.07324,268.8666666666667
144,283.12384,269.17
145,285.95248,242.77666666666667
146,250.64748,209.29333333333327
147,205.36696,243.205
148,256.19873,246.578
149,260.86905,205.41599999999997
150,208.76756,207.625
151,208.62393,75.04166666666669
152,106.86982,33.53833333333341
153,81.7436,39.81
154,87.9351,30.51666666666665
155,91.04301,25.306666666666672
156,87.587135,25.077999999999975
157,80.21082,25.558333333333337
158,74.3783,23.889999999999986
159,69.74021,23.20999999999998
160,75.30744,105.19833333333332
161,125.43522,220.372
162,224.7558,264.36
163,295.98035,282.03000000000003
164,315.15567,286.44166666666666
165,308.0037,268.32000000000005
166,274.9909,269.65
167,269.14362,245.30333333333337
168,233.92505,256.11
169,255.73772,245.0
170,245.21869,234.062
171,238.82669,234.946
172,243.79918,218.015
173,218.14436,236.2383333333333
174,240.82257,266.21
175,282.6739,91.31200000000001
176,131.12346,44.30166666666668
177,82.17838,22.133333333333326
178,66.11735,16.86166666666668
179,58.18574,16.79400000000004
180,66.230995,16.307999999999993
181,69.59757,17.876666666666665
182,70.5579,14.056666666666672
183,65.09165,18.954999999999984
184,53.780834,76.52333333333326
185,83.9282,168.22500000000002
186,190.29008,233.8333333333333
187,285.9405,290.8766666666667
188,364.5109,290.37
189,340.7556,304.93833333333333
190,349.53354,323.7466666666666
191,362.26114,335.52833333333336
192,360.39645,345.26500000000004
193,367.706,374.2099999999999
194,404.38943,339.35
195,348.44943,290.5683333333333
196,280.52347,309.095
197,316.57684,300.14000000000004
198,311.33652,271.775
199,271.19916,191.40999999999997
200,192.27437,75.37833333333333
201,120.33512,29.221666666666692
202,89.3476,15.778333333333308
203,79.980965,87.96166666666664
204,125.41331,70.0675
205,124.241005,3.7416666666666742
206,77.7996,19.26333333333332
207,71.723274,55.34166666666664
208,82.291756,175.69833333333335
209,171.20326,220.73200000000003
210,243.41505,282.8
211,342.3187,328.80333333333334
212,398.1391,311.9066666666667
