,Test predictions,Actual
0,473.12634,451.705
1,460.6604,443.6816666666666
2,457.1812,452.508
3,464.6874,354.636
4,375.30334,308.15833333333336
5,348.14526,252.03666666666663
6,299.74844,234.74
7,267.94244,188.51166666666663
8,236.06073,136.19
9,217.3286,150.125
10,197.442,151.265
11,188.42998,179.68999999999997
12,204.7263,216.395
13,226.22527,321.59
14,309.6394,534.6733333333333
15,487.2377,687.4583333333334
16,528.5004,743.626
17,548.7513,695.9666666666667
18,548.44977,629.4380000000001
19,540.48987,599.304
20,532.61395,587.5216666666666
21,529.2953,602.0616666666666
22,534.2535,881.8883333333333
23,549.9506,839.5233333333334
24,549.92303,583.5916666666666
25,523.03656,432.6
26,438.48892,419.1466666666667
27,440.4287,423.868
28,443.524,364.3866666666667
29,388.6043,333.888
30,365.54193,277.2
31,303.9895,275.9225
32,300.35522,261.59
33,282.50586,280.8275
34,295.09235,272.745
35,286.01688,263.874
36,278.7599,336.0216666666667
37,344.19446,506.45200000000006
38,497.7854,630.626
39,539.3902,769.6700000000001
40,549.4097,766.6375
41,549.7331,723.71
42,549.31744,703.8039999999999
43,548.8459,656.6550000000001
44,545.49664,657.11
45,545.4929,614.5675000000001
46,537.45386,880.2275
47,549.9484,938.315
48,549.9311,608.89
49,530.7519,234.34166666666667
50,300.62152,137.132
51,275.07513,144.47666666666666
52,252.4695,139.055
53,202.43416,136.52166666666668
54,190.18416,137.51333333333332
55,177.8187,0.166666666666666
56,82.201744,14.329999999999998
57,64.12884,29.44
58,55.265987,35.236666666666665
59,62.32042,190.2983333333333
60,229.19496,109.886
61,198.02501,45.935
62,142.57497,32.92666666666667
63,98.13647,103.19333333333331
64,155.38567,327.58500000000004
65,328.6718,314.12833333333333
66,288.95898,249.0683333333333
67,262.85754,197.32666666666668
68,240.88643,194.98666666666668
69,232.39186,162.77499999999998
70,217.31697,145.46833333333333
71,182.47517,157.065
72,180.48157,159.83833333333334
73,179.95103,179.73999999999998
74,197.05933,163.07166666666663
75,183.78914,195.54166666666663
76,209.48494,169.098
77,190.59297,186.165
78,206.07051,164.73333333333335
79,189.84628,98.87333333333332
80,149.59021,22.74833333333333
81,92.08608,26.386666666666667
82,79.492355,14.733333333333334
83,56.111874,22.043333333333333
84,25.29864,29.16
85,43.26477,31.07333333333333
86,76.48496,18.42
87,57.144886,30.298
88,80.815704,157.495
89,175.01245,229.33
90,246.70624,185.7983333333333
91,225.14009,169.27
92,208.66624,163.6966666666667
93,192.17546,152.74499999999998
94,182.21388,159.026
95,183.07748,167.485
96,190.49724,144.01833333333337
97,175.34796,150.77
98,175.64302,152.51
99,175.4993,190.85166666666663
100,204.64134,165.47000000000003
101,187.38155,169.828
102,192.38641,193.75333333333333
103,210.1748,125.61
104,168.7412,49.57666666666666
105,119.48729,23.46
106,87.28608,20.28
107,73.726326,17.56833333333333
108,42.933064,14.361666666666666
109,5.340802,21.26666666666667
110,41.478725,17.87666666666667
111,44.058273,35.94166666666666
112,89.46397,171.228
113,198.74153,257.4425
114,277.02948,302.66
115,318.9613,276.14
116,293.8884,284.59
117,295.52365,281.1933333333333
118,305.74396,261.808
119,295.02005,189.8633333333333
120,253.61725,185.795
121,247.34949,172.41666666666666
122,218.19147,213.30166666666665
123,229.92052,214.04000000000005
124,224.0637,195.726
125,214.70897,241.41833333333332
126,245.81204,243.228
127,252.10574,144.4333333333333
128,206.065,52.068333333333335
129,145.54349,47.168000000000006
130,129.35062,34.89666666666667
131,102.62555,30.271666666666665
132,88.763626,33.72833333333333
133,80.806625,41.435
134,94.31374,27.74333333333334
135,73.14999,60.678
136,121.783455,221.99500000000003
137,227.8642,368.8216666666667
138,374.51407,401.1366666666667
139,384.28183,331.5166666666667
140,332.58978,251.67
141,291.0302,266.14666666666665
142,304.4917,261.366
143,294.29852,268.8666666666667
144,294.87433,269.17
145,293.35443,242.77666666666667
146,274.0714,209.2933333333333
147,258.1643,243.205
148,274.6727,246.578
149,274.41406,205.416
150,252.63487,207.625
151,243.90547,75.04166666666667
152,157.6758,33.538333333333334
153,103.64327,39.81
154,94.8061,30.516666666666666
155,83.79233,25.30666666666666
156,56.115948,25.078
157,31.952332,25.558333333333337
158,46.519993,23.89
159,54.651104,23.21
160,54.90518,105.19833333333334
161,137.73412,220.372
162,238.07549,264.36
163,288.33997,282.03000000000003
164,309.62207,286.44166666666666
165,310.33887,268.32000000000005
166,289.68018,269.65
167,296.47815,245.30333333333337
168,278.77457,256.11
169,284.7525,245.0
170,275.069,234.062
171,267.93164,234.946
172,267.9857,218.015
173,260.1551,236.2383333333333
174,268.86652,266.21
175,287.79587,91.312
176,180.10744,44.30166666666667
177,136.6606,22.133333333333336
178,112.19045,16.861666666666668
179,95.27173,16.794
180,46.521408,16.308
181,11.319621,17.87666666666667
182,30.790018,14.056666666666668
183,23.902668,18.955
184,29.531132,76.52333333333333
185,84.86314,168.22500000000002
186,171.02667,233.8333333333333
187,251.14046,290.8766666666667
188,304.77466,290.37
189,297.8875,304.93833333333333
190,306.82587,323.7466666666666
191,342.5304,335.52833333333336
192,357.47357,345.26500000000004
193,365.74445,374.2099999999999
194,393.72852,339.35
195,354.46692,290.5683333333333
196,321.57806,309.095
197,339.8377,300.14000000000004
198,327.9652,271.775
199,301.35312,191.41
200,247.17253,75.37833333333333
201,169.53368,29.221666666666668
202,121.888145,15.778333333333334
203,95.16156,87.96166666666666
204,148.24736,70.0675
205,121.72315,3.741666666666666
206,62.834087,19.26333333333333
207,36.72076,55.34166666666666
208,119.33419,175.69833333333335
209,200.97972,220.73200000000003
210,233.97823,282.8
211,301.97922,328.80333333333334
212,336.59305,311.9066666666667
213,307.7528,351.2483333333334
214,372.28412,338.855
215,356.49493,312.9533333333334
216,338.1773,321.4916666666667
217,349.11353,297.53666666666663
218,326.9226,284.96000000000004
219,317.11905,322.71166666666664
220,348.88443,316.93800000000005
221,338.20123,330.03666666666663
222,351.82825,305.6166666666666
223,326.99286,224.14
224,271.41107,84.22833333333334
225,196.27481,40.205000000000005
226,142.00465,29.78
227,104.80724,127.58166666666666
228,170.72006,132.64166666666668
229,170.00688,42.26499999999999
230,99.74454,40.696666666666665
231,93.6842,64.68333333333334
232,118.67658,222.18000000000004
233,229.18565,343.6683333333333
234,341.75934,340.6466666666667
235,352.02905,367.34833333333336
236,388.24146,357.564
237,372.25647,300.142
238,327.29352,291.92833333333334
239,326.63965,287.4883333333333
240,322.0619,284.7083333333333
241,317.75427,289.8883333333333
242,319.84387,361.2416666666666
243,389.58508,320.415
244,336.57727,300.80833333333334
245,328.1134,298.5883333333333
246,326.99185,334.06166666666667
247,357.9662,168.29333333333332
248,240.84242,67.17999999999999
249,184.6216,41.69200000000001
250,142.57126,50.96333333333333
251,125.009254,46.354000000000006
252,107.44557,58.48166666666666
253,121.0498,57.96333333333333
254,126.65953,45.19833333333333
255,109.25966,67.09
256,131.50874,189.9283333333333
257,207.7151,391.6383333333334
258,401.09674,440.36
259,417.94458,391.6383333333333
260,385.50098,415.445
261,428.7438,386.395
262,398.0638,317.825
263,342.60272,275.14199999999994
264,314.8897,259.74
265,298.27667,264.20166666666665
266,295.53897,327.6933333333333
267,350.12543,327.75333333333333
268,341.92038,292.6683333333333
269,316.8732,337.438
270,363.61124,256.03666666666663
271,289.55377,138.99666666666664
272,241.48112,57.745000000000005
273,184.09499,42.42333333333334
274,136.20122,56.32500000000001
275,129.02837,36.22
276,106.24822,32.408
277,93.43933,23.452
278,63.687378,14.33
279,45.82807,13.25
280,26.785208,53.76833333333334
281,98.52395,144.11166666666665
282,174.50163,247.9
283,262.9442,352.2383333333333
284,365.49408,348.4766666666667
285,347.53635,340.544
286,344.8176,330.915
287,352.55405,292.8483333333333
288,325.0447,326.33666666666664
289,357.1914,294.81600000000003
290,324.919,280.0883333333333
291,314.70197,284.16
292,316.1947,282.8016666666667
293,314.11096,283.48
294,312.0639,277.646
295,306.41107,193.2083333333333
296,250.57237,130.485
297,212.61742,165.63333333333335
298,213.09831,133.99666666666667
299,179.99475,145.40166666666667
300,185.18481,145.53166666666667
301,184.68507,110.00666666666666
302,164.43837,99.09333333333332
303,152.74965,73.404
304,136.74113,104.02666666666669
305,153.9207,113.70666666666664
306,159.39053,199.405
307,208.64162,318.56666666666666
308,306.10983,411.2516666666667
309,403.28003,459.4733333333333
310,443.20898,492.2799999999999
311,485.6869,477.6666666666667
312,472.1765,391.902
313,402.6424,295.0083333333333
314,333.40784,285.4033333333333
315,333.7066,295.69
316,337.78705,296.29
317,328.34088,259.37833333333333
318,288.63263,240.375
319,273.23914,111.21599999999998
320,219.63948,49.81833333333333
321,167.70699,39.028333333333336
322,134.2195,49.97166666666667
323,130.70491,33.84666666666667
324,106.66335,37.181666666666665
325,100.66096,56.91333333333333
326,130.98878,60.120000000000005
327,137.21971,99.42666666666666
328,156.58675,275.46000000000004
329,266.46072,445.4380000000001
330,435.84195,440.35666666666674
331,411.84918,412.4883333333334
332,402.9312,348.5400000000001
333,361.375,314.51
334,349.6639,247.65
335,297.58167,222.055
336,267.83112,217.74166666666665
337,249.54454,227.6233333333333
338,248.76503,201.09333333333333
339,224.87259,236.98
340,252.13379,260.1083333333333
341,271.0664,270.172
342,279.25928,262.03
343,270.85022,137.70800000000003
344,216.66759,49.145
345,158.13335,34.58833333333333
346,125.81372,30.210000000000004
347,109.12989,15.78
348,67.990364,7.333333333333333
349,31.779387,17.57
350,26.42665,15.504999999999995
351,24.02169,7.765000000000001
352,12.56393,72.20666666666666
353,78.516075,174.63600000000002
354,169.34163,238.67
355,262.35522,224.6483333333333
356,253.14551,207.192
357,224.98076,243.8283333333333
358,252.39052,211.2783333333333
359,229.05078,194.42666666666665
360,217.88028,184.01166666666663
361,212.18466,153.50000000000003
362,201.68906,181.84833333333333
363,211.71715,190.485
364,214.56953,191.595
365,214.76305,205.035
366,220.66406,187.525
367,212.21951,171.05999999999997
368,208.87755,47.72833333333333
369,156.70752,26.04
370,129.72043,22.81
371,99.53095,44.63999999999999
372,121.87974,31.41
373,85.51089,14.425
374,52.98347,5.55
375,32.842667,19.3
376,38.766663,56.91166666666666
377,111.5364,86.32833333333333
378,139.6332,101.495
379,160.03018,161.74499999999998
380,185.08809,191.502
381,208.83804,201.70166666666668
382,217.83977,223.84833333333336
383,230.20497,277.572
384,272.92627,256.40500000000003
385,265.80087,270.5883333333333
386,282.4951,298.70666666666665
387,306.50916,286.0683333333333
388,295.1078,242.47166666666664
389,260.48383,248.65
390,265.2558,293.4683333333333
391,302.77527,211.8333333333333
392,241.1758,68.26
393,185.98267,42.42166666666666
394,157.9403,33.721666666666664
395,121.98659,89.78166666666668
396,146.8354,51.75599999999999
397,103.77163,23.485
398,78.02155,20.008333333333336
399,59.483368,46.833333333333336
400,105.29965,162.33
401,193.82213,264.5066666666667
402,286.10892,343.2333333333333
403,370.55008,315.94166666666666
404,333.3926,331.16
405,352.08743,365.9283333333333
406,386.76154,362.1033333333334
407,373.94635,338.2383333333333
408,352.17886,320.66333333333336
409,340.86578,336.10800000000006
