time,T,Rn,H,P,CO2
2019-05-15 15:00:00,0.0,3696.300000000001,0.0,101.21988888888887,184.83333333333331
2019-05-15 16:00:00,0.0,3696.299999999998,0.0,101.2216923076923,179.23076923076923
2019-05-15 17:00:00,0.0,3696.299999999999,0.0,101.22668749999998,184.875
2019-05-15 18:00:00,0.0,3696.299999999998,0.0,101.2496153846154,184.42307692307693
2019-05-15 19:00:00,0.0,3696.299999999998,0.0,101.28352830188678,184.81132075471697
2019-05-15 20:00:00,0.0,3696.300000000002,0.0,101.3102692307692,180.53846153846155
2019-05-15 21:00:00,0.0,3696.3000000000015,0.0,101.3434347826087,185.8695652173913
2019-05-15 22:00:00,0.0,3696.299999999998,0.0,101.32030188679244,185.622641509434
2019-05-15 23:00:00,0.0,3696.299999999998,0.0,101.29307692307694,187.48076923076923
2019-05-16 00:00:00,0.0,3696.299999999998,0.0,101.25390566037734,184.9056603773585
2019-05-16 01:00:00,0.0,3696.299999999998,0.0,101.20386274509804,184.4705882352941
2019-05-16 02:00:00,0.0,3696.299999999998,0.0,101.17379245283016,182.8490566037736
2019-05-16 03:00:00,0.0,3696.2999999999975,0.0,101.1650925925926,180.4814814814815
2019-05-16 04:00:00,0.0,3696.2999999999984,0.0,101.16502,183.94
2019-05-16 05:00:00,0.0,3696.299999999998,0.0,101.18455769230772,180.59615384615384
2019-05-16 06:00:00,0.0,3696.299999999998,0.0,101.19322641509434,186.18867924528303
2019-05-16 07:00:00,0.0,3696.299999999998,0.0,101.21238461538456,184.96153846153845
2019-05-16 08:00:00,0.0,3696.299999999998,0.0,101.22944230769234,183.84615384615384
2019-05-16 09:00:00,0.0,3696.299999999998,0.0,101.2461320754717,185.49056603773585
2019-05-16 10:00:00,0.0,3696.2999999999975,0.0,101.24233333333332,187.5
2019-05-16 11:00:00,0.0,3696.299999999998,0.0,101.25466037735848,185.2075471698113
2019-05-16 12:00:00,0.0,3696.299999999998,0.0,101.21107692307692,184.42307692307693
2019-05-16 13:00:00,0.0,3696.299999999998,0.0,101.20979245283014,184.81132075471697
2019-05-16 14:00:00,0.0,3696.299999999998,0.0,101.20805660377358,182.5283018867925
2019-05-16 15:00:00,0.0,3696.299999999998,0.0,101.2320588235294,180.94117647058823
2019-05-16 16:00:00,0.0,3696.2999999999975,0.0,101.26522222222226,190.5
2019-05-16 17:00:00,0.0,3696.299999999999,0.0,101.2828936170213,182.1489361702128
2019-05-17 09:00:00,0.0,3696.300000000002,0.0,101.58407142857143,179.64285714285714
2019-05-17 10:00:00,0.0,3696.299999999998,0.0,101.58452941176468,187.37254901960785
2019-05-17 11:00:00,0.0,3696.299999999998,0.0,101.5923137254902,184.80392156862743
2019-05-17 12:00:00,0.0,3696.299999999998,0.0,101.58762264150944,185.2264150943396
2019-05-17 13:00:00,0.0,3696.299999999998,0.0,101.56065384615384,184.69230769230768
2019-05-17 14:00:00,0.0,3696.299999999998,0.0,101.5174528301887,187.1320754716981
2019-05-17 15:00:00,0.0,1336.9595744680855,0.0,95.01351063829786,157.85106382978722
2019-05-18 09:00:00,0.0,0.0,0.0,98.55574285714285,187.14285714285717
2019-05-18 10:00:00,0.0,13.004150943396226,0.0,101.48001886792454,189.56603773584905
2019-05-18 11:00:00,0.0,16.623333333333335,0.0,101.48796296296295,189.77777777777777
2019-05-18 12:00:00,0.0,22.290566037735864,0.0,101.47298113207546,185.7924528301887
2019-05-18 13:00:00,0.0,26.968113207547155,0.0,101.46724528301888,187.32075471698116
2019-05-18 14:00:00,0.0,26.313529411764694,0.0,101.43856862745096,188.9607843137255
2019-05-18 15:00:00,0.0,39.19924528301887,0.0,101.4090566037736,189.83018867924528
2019-05-18 16:00:00,0.0,518.7083018867924,0.0,101.41864150943395,188.2075471698113
2019-05-18 17:00:00,0.0,1083.0272549019612,0.0,101.42005882352944,179.07843137254903
2019-05-18 18:00:00,0.0,683.2622641509438,0.0,101.42241509433958,175.52830188679246
2019-05-18 19:00:00,0.0,496.0062264150938,0.0,101.43286792452834,186.5283018867925
2019-05-18 20:00:00,0.0,507.281346153846,0.0,101.45867307692308,182.30769230769232
2019-05-18 21:00:00,0.0,693.9578846153842,0.0,101.4603653846154,179.55769230769232
2019-05-18 22:00:00,0.0,630.622692307692,0.0,101.4399807692308,178.71153846153845
2019-05-18 23:00:00,0.0,590.865471698113,0.0,101.4265283018868,179.39622641509433
2019-05-19 00:00:00,0.0,616.2211320754714,0.0,101.37496226415098,185.5283018867925
2019-05-19 01:00:00,0.0,547.4513461538461,0.0,101.34530769230771,179.67307692307693
2019-05-19 02:00:00,0.0,504.0166666666668,0.0,101.33042592592592,180.46296296296296
2019-05-19 03:00:00,0.0,422.8145283018866,0.0,101.33330188679244,177.88679245283018
2019-05-19 04:00:00,0.0,430.1862264150941,0.0,101.30828301886793,184.6981132075472
2019-05-19 05:00:00,0.0,399.26481481481454,0.0,101.30992592592597,179.33333333333334
2019-05-19 06:00:00,0.0,363.441111111111,0.0,101.33003703703706,180.64814814814812
2019-05-19 07:00:00,0.0,388.270576923077,0.0,101.34530769230768,182.90384615384616
2019-05-19 08:00:00,0.0,450.5146296296297,0.0,101.36420370370372,182.55555555555557
2019-05-19 09:00:00,0.0,479.6557692307693,0.0,101.35428846153852,181.0
2019-05-19 10:00:00,0.0,554.2962962962964,0.0,101.35474074074074,183.64814814814812
2019-05-19 11:00:00,0.0,700.5758490566043,0.0,101.37669811320757,186.2075471698113
2019-05-19 12:00:00,0.0,718.707924528302,0.0,101.36701886792454,180.26415094339623
